"name","bio","birth_date","death_date","institution","awards","known_for","fields","page_title","image_url"
"Francisco Guinea","Francisco Ginella Dabezies (born 21 January 1999), commonly known as ""Pancho"" Ginella, is a Uruguayan professional footballer who plays for Defensor.",NA,NA,NA,NA,NA,NA,"Francisco Ginella",NA
"Wayne Hsing‐Ching Hu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Nathaniel Spergel","David Nathaniel Spergel is an American theoretical astrophysicist and the Emeritus Charles A. Young Professor of Astronomy on the Class of 1897 Foundation at Princeton University. Since 2021, he has been the President of the Simons Foundation. He is known for his work on the Wilkinson Microwave Anisotropy Probe (WMAP) project. In 2022, Spergel accepted the chair of NASA's UAP independent study team.","David Nathaniel Spergel  March 25, 1961 (age 64)",NA,"Princeton University Harvard University","Helen B. Warner Prize for Astronomy Shaw Prize in Astronomy Dannie Heineman Prize for Astrophysics Breakthrough Prize in Fundamental Physics","Co-leading the Wilkinson Microwave Anisotropy Probe project","Astrophysics","David Nathaniel Spergel","https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/David_Spergel.jpg/250px-David_Spergel.jpg"
"Lance Jenkins Dixon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"D N Christodoulides D N Christodoulides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"S G Lloyd","Sam Lloyd (November 12, 1963 – April 30, 2020) was an American actor and singer who played lawyer Ted Buckland on the comedy-drama series Scrubs and the sitcom Cougar Town.","November 12, 1963Springfield, Vermont, U.S.","April 30, 2020 (aged 56)Los Angeles, California, U.S.","Syracuse University",NA,NA,NA,"Sam Lloyd","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Sam_Lloyd_at_WonderCon_2009.JPG/250px-Sam_Lloyd_at_WonderCon_2009.JPG"
"Zvi Bern","Zvi Bern (born 17 September 1960) is an American theoretical particle physicist. He is a professor at University of California, Los Angeles (UCLA).","17 September 1960 in New York",NA,"Massachusetts Institute of Technology (B.S.)University of California, Berkeley (Ph.D.)","Fellow of the American Physical Society (2004) Sakurai Prize (2014) Galileo Galilei Medal (2023)","Double copy theory, Generalized Unitarity Method, Scattering Amplitudes","Theoretical Physics, Quantum Field Theory, Supergravity, String Theory","Zvi Bern","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Zvi-Bern.jpg/250px-Zvi-Bern.jpg"
"Константин Александрович Новоселов",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matias Zaldarriaga","Matias Zaldarriaga is a theoretical physicist best known for his work on cosmology. He has made significant contributions toward understanding both astrophysical phenomena and fundamental physics, most notably through his research on modeling the early universe and analyzing statistical properties of cosmic microwave background data. Zaldarriaga grew up in Buenos Aires, Argentina and received his undergraduate degree from the University of Buenos Aires in 1994. He received his PhD in 1998 from the Massachusetts Institute of Technology, followed by a postdoctoral fellowship at the Institute for Advanced Study in Princeton, NJ. Zaldarriaga was an assistant professor at New York University from 2001 to 2002, and a professor at Harvard University from 2004 to 2009, there he received a MacArthur Fellowship in 2006. He is currently a professor at the Institute for Advanced Study, where he has been a faculty member since 2009.","Coghlan, Buenos Aires",NA,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}Massachusetts Institute of TechnologyUniversity of Buenos Aires","MacArthur Fellows Program; Helen B. Warner Prize for Astronomy (2003); Gribov Medal (2005); Buchalter Cosmology Prize (2020); Gruber Prize in Cosmology (2021)","CMBFAST code",NA,"Matias Zaldarriaga",NA
"Kenneth Manao Yamada",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zhuoyang Shen","Zhao Yangsheng (Chinese: 赵阳升; born December 1955) is a Chinese scientist currently serving as a professor and doctoral supervisor at Taiyuan University of Technology. He is a member of the International Society for Rock Mechanics (ISRM) and Chinese Society for Rock Mechanics and Engineering (CSRME).","December 1955 (age 69)Taiyuan, Shanxi, China",NA,"Taiyuan University of TechnologyLiaoning Technical UniversityTongji University",NA,NA,"Mineral engineering","Zhao Yangsheng",NA
"Chris G Van de Walle","Chris G. Van de Walle is a professor in the Materials Department at the University of California, Santa Barbara. He received a Ph.D. in Electrical Engineering from Stanford University in 1986. Prior to joining UCSB in 2004, he was a principal scientist at the Xerox Palo Alto Research Center (PARC). His research interests include first-principles calculations for materials, defects and doping in semiconductors and oxides, surfaces and interfaces, and the physics of hydrogen in materials. Van de Walle is a Fellow of the APS, MRS, AAAS, AVS, and IEEE. He is the recipient of a Humboldt Research Award for Senior US Scientist, the Medard W. Welch Award, and the David Adler Lectureship Award in the Field of Materials Physics from the APS.",NA,NA,"University of California, Santa Barbara,","Aneesur Rahman Prize (2025)Medard W. Welch Award (2013)David Adler Lectureship Award (2002)Humboldt Research Award (1998)","First-principles calculations for materialsModel solid approximation","Condensed matter physicsMaterials science","Chris G. Van de Walle","https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Chris_Van_de_Walle_-_042710.jpg/250px-Chris_Van_de_Walle_-_042710.jpg"
"Taka‐Hisa Arima",NA,NA,NA,NA,NA,NA,NA,NA,NA
